Customer ID,network_age,Customer tenure in month,Total Spend in Months 1 and 2 of 2017,Total SMS Spend,Total Data Spend,Total Data Consumption,Total Unique Calls,Total Onnet spend ,Total Offnet spend,Total Call centre complaint calls,Network type subscription in Month 1,Network type subscription in Month 2,Most Loved Competitor network in in Month 1,Most Loved Competitor network in in Month 2
ADF0036,2169,72.3,588.8,10.76,61.25,1066516.375,81,980,537,1,,,Uxaa,Mango
ADF0037,2357,78.56666667,601.7,115.96,107.5,26682.8545,21,0,5171,1,3G,3G,Zintel,Mango
ADF0139,1366,45.53333333,1313.81,21.4,6.25,17225.3789,253,3060,72309,1,Other,Other,ToCall,PQza
ADF0140,406,13.53333333,1343.254,45.41,72.5,54648012.48,22,0,3568,1,3G,,PQza,PQza
ADF0141,1569,52.3,1431.2,20.12,0,27022.0039,176,22714,61526,2,3G,3G,ToCall,PQza
ADF0142,2582,86.06666667,1509.2584,36.02,500,2090914.213,69,2334,12636,2,3G,2G,Mango,PQza
ADF0143,4151,138.3666667,1545.0036,6.13,50,266792.7255,757,1494,50692,2,3G,3G,Zintel,PQza
ADF0144,2009,66.96666667,1612.4152,33.25,356.25,3120661.275,27,3131,12498,1,3G,3G,Mango,PQza
ADF0145,1429,47.63333333,1665.54,0.12,105,10967190.07,702,24,358,2,3G,3G,ToCall,PQza
ADF0146,3610,120.3333333,1786.06,1.75,65,24044071.8,6,36,537,1,3G,3G,PQza,PQza
ADF0147,228,7.6,1929.63,93.48,281.25,3338216.653,418,0,16489,4,3G,3G,ToCall,PQza
ADF0148,419,13.96666667,1960.306,8.75,435,68063420.29,84,5235,20364,1,3G,,Mango,PQza
ADF0149,2028,67.6,227.582,45.88,6.25,24.4424,21,2916,5042,1,2G,2G,PQza,PQza
ADF0150,1404,46.8,238.97,29.45,2.5,24.0059,17,1757,3800,1,2G,2G,PQza,PQza
ADF0151,1382,46.06666667,239.976,53.54,1.25,37671.6074,24,954,6106,1,2G,2G,ToCall,PQza
ADF0152,1209,40.3,242.12,40.56,30,278404.7305,7,36,472,1,3G,,PQza,PQza
ADF0153,2820,94,242.17,80.66,26.25,858.5508,20,2862,4493,1,3G,3G,PQza,PQza
ADF0154,2420,80.66666667,243.93,26.08,13.75,184331.4824,29,3705,6082,1,3G,3G,Weematel,PQza
ADF0155,198,6.6,244.71,73.2,2.5,38.9355,52,0,8628,1,,,ToCall,PQza
ADF0156,106,3.533333333,245.256,107.35,12.5,115584.9189,11,0,1949,2,,3G,PQza,PQza
ADF0157,2099,69.96666667,248.018,2.63,160,15887661.71,10,444,1434,2,3G,3G,Mango,PQza
ADF0158,1144,38.13333333,248.49,21.51,6.25,179.457,17,323,4373,1,3G,3G,Uxaa,PQza
ADF0159,1588,52.93333333,250.41,43.32,0,2981.0566,42,288,13143,1,Other,Other,PQza,PQza
ADF0160,122,4.066666667,251.4,0,10,632.2334,7,0,897,1,2G,2G,PQza,PQza
ADF0161,2082,69.4,253.5488,0,22.5,14139290.29,86,216,14545,2,2G,2G,PQza,PQza
ADF0162,924,30.8,254.144,43.58,16.25,832,42,990,7665,2,2G,2G,ToCall,PQza
ADF0163,343,11.43333333,254.3396,24.37,3.75,51044.1719,71,114,12691,1,2G,2G,Zintel,PQza
ADF0164,2429,80.96666667,254.788,54.97,63.75,267606.5508,20,1512,2382,1,Other,Other,Zintel,PQza
ADF0165,210,7,259.52,0,66.25,458411.914,10,0,1790,1,3G,3G,PQza,PQza
ADF0166,704,23.46666667,261.7312,7.17,3.75,130.0391,17,36,5884,2,Other,Other,PQza,PQza
ADF0167,168,5.6,263.95,60.83,6.25,539.415,47,1548,4927,2,,,PQza,PQza
ADF0168,591,19.7,267.1864,7.61,28.75,33536321.8,1,0,179,1,2G,3G,PQza,PQza
ADF0169,488,16.26666667,271.7008,101.96,60,1707.5136,22,36,5676,1,3G,3G,Uxaa,PQza
ADF0170,449,14.96666667,272.12,20.46,6.25,441698.3447,18,0,2646,1,3G,3G,PQza,PQza
ADF0171,137,4.566666667,276.21,0,56.25,4723.917,48,6648,11640,1,2G,2G,PQza,PQza
ADF0172,628,20.93333333,276.82,29.38,1.25,0.1211,42,4097,669,1,2G,2G,Uxaa,PQza
ADF0173,988,32.93333333,280.828,0,65,435771.8584,5,490,1338,2,3G,3G,PQza,PQza
ADF0174,165,5.5,282.898,16.74,36.25,135136.9355,23,36,4000,1,3G,3G,Zintel,PQza
ADF0175,107,3.566666667,284.126,11.37,30,1855812.474,20,240,1591,1,3G,,PQza,PQza
ADF0176,175,5.833333333,286.5,0,66.25,16152499.42,4,0,657,1,3G,3G,PQza,PQza
ADF0177,127,4.233333333,290.3704,0,103.75,15494980.65,16,0,4424,1,3G,3G,PQza,PQza
ADF0178,435,14.5,293.318,3.5,36.25,11399.0039,17,2307,860,2,2G,2G,PQza,PQza
ADF0179,1867,62.23333333,294.344,20.32,7.5,689476.9512,19,3012,3286,1,Other,Other,PQza,PQza
ADF0180,2769,92.3,300.5156,71.19,0,1258.0498,35,318,12491,1,3G,3G,Weematel,PQza
ADF0181,1717,57.23333333,307.322,164.83,7.5,384,29,0,5940,1,3G,3G,PQza,PQza
ADF0182,1424,47.46666667,311.2624,21.47,0,67895.9561,17,1491,2290,1,Other,Other,PQza,PQza
ADF0183,1209,40.3,311.306,2.62,88.75,352675.4297,27,180,2806,2,2G,2G,Mango,PQza
ADF0184,1361,45.36666667,312.378,10.43,123.75,2405666.735,15,96,2511,1,3G,3G,Zintel,PQza
ADF0185,138,4.6,315.0044,0,201.25,1813914.316,19,0,3587,2,3G,3G,PQza,PQza
ADF0186,204,6.8,316.04,18.48,30,10995622.09,11,24,2093,1,2G,2G,Mango,PQza
ADF0187,1574,52.46666667,325.4172,39.35,5,485815.1338,22,2376,2761,1,3G,3G,Weematel,PQza
ADF0188,209,6.966666667,326.38,38.6,30,11455.9649,68,1200,14008,1,3G,3G,Mango,PQza
ADF0189,1792,59.73333333,332.1136,82.68,77.5,51063.2988,23,3956,2280,3,Other,Other,PQza,PQza
ADF0190,2410,80.33333333,334.02,29.15,0,19462.2813,69,654,15829,1,3G,,Mango,PQza
ADF0191,122,4.066666667,344.1564,0,35,81718.4775,43,26316,1976,4,2G,2G,PQza,PQza
ADF0192,1956,65.2,345.8304,16.34,77.5,819375.4004,18,48,4626,1,Other,Other,Zintel,PQza
ADF0193,160,5.333333333,348.97,0,3.75,5739745.548,7,12,938,1,3G,3G,Uxaa,PQza
ADF0194,1384,46.13333333,356.3684,43.72,76.25,30493.4921,33,4506,7166,1,3G,2G,Uxaa,PQza
ADF0195,419,13.96666667,360.962,35.9,80,513430.5283,19,605,2765,1,3G,3G,Zintel,PQza
ADF0196,545,18.16666667,361.586,16.05,16.25,394703.3926,47,1077,6107,1,2G,2G,PQza,PQza
ADF0197,347,11.56666667,361.978,15.8,61.25,3570486.309,10,840,1274,1,2G,2G,ToCall,PQza
ADF0198,1333,44.43333333,365.116,23.9,1.25,86.8809,89,9288,18764,1,,3G,Weematel,PQza
ADF0199,586,19.53333333,377.018,86.78,62.5,311391.1025,19,228,3329,1,3G,3G,PQza,PQza
ADF0200,413,13.76666667,381.338,13.7,148.75,163079.6973,5,502,370,1,3G,3G,Uxaa,PQza
ADF0201,803,26.76666667,382.112,7,121.25,872477.3057,14,131,2398,1,3G,3G,PQza,PQza
ADF0202,356,11.86666667,382.48,49.73,2.5,28582.9336,7,0,1541,1,2G,2G,PQza,PQza
ADF0203,346,11.53333333,382.6652,18.94,130,606623.7168,21,516,1981,1,2G,2G,PQza,PQza
ADF0204,1414,47.13333333,388.072,10.03,22.5,899.8955,34,2910,9416,1,3G,3G,ToCall,PQza
ADF0205,595,19.83333333,392.79,43.15,125,803877.7187,15,3258,1540,1,2G,2G,Uxaa,PQza
ADF0206,958,31.93333333,393.7128,23.9,0,64,84,2964,26938,1,Other,Other,0,PQza
ADF0207,120,4,398.346,0,72.5,5164384.34,25,12,4373,1,3G,3G,Uxaa,PQza
ADF0208,1121,37.36666667,399.98,44.77,0,1.3672,124,3842,1159,1,Other,Other,PQza,PQza
ADF0209,379,12.63333333,403.02,35.88,162.5,1058399.876,174,2500,8167,2,,,PQza,PQza
ADF0210,3459,115.3,404.86,36.65,78.75,103838.3018,76,4974,5901,1,2G,2G,PQza,PQza
ADF0211,944,31.46666667,411.5724,22.85,0,8644.9922,212,4894,8263,1,2G,2G,Zintel,PQza
ADF0212,119,3.966666667,417.832,1.75,108.75,582044.8291,4,120,537,3,,3G,Uxaa,PQza
ADF0213,1316,43.86666667,418.5664,162.78,2.5,54.8457,50,1494,12441,1,2G,2G,Zintel,PQza
ADF0214,118,3.933333333,419.2508,28.58,81.25,77806.3388,37,0,8024,1,Other,Other,ToCall,PQza
ADF0215,2775,92.5,430.2,27.87,10,5289.7324,88,4284,18893,3,3G,3G,PQza,PQza
ADF0216,172,5.733333333,442.2904,0.01,248.75,4173532.369,9,0,1375,1,,3G,Mango,PQza
ADF0217,544,18.13333333,447.5504,25.57,188.75,264788.0518,6,114,765,1,3G,3G,PQza,PQza
ADF0218,101,3.366666667,452.31,40.25,51.25,76293.3242,13,3060,1603,2,2G,3G,Zintel,PQza
ADF0219,330,11,454.3128,47.14,53.75,212.2656,11,0,4144,1,Other,Other,Zintel,PQza
ADF0220,2347,78.23333333,465.7484,33.26,50,633833.6787,32,7129,3289,1,3G,3G,Uxaa,PQza
ADF0221,3978,132.6,466.4056,11.31,126.25,773825.3633,10,0,1862,1,3G,3G,PQza,PQza
ADF0222,1103,36.76666667,468.98,61.33,51.25,453745.4395,14,131,2327,4,3G,3G,PQza,PQza
ADF0223,228,7.6,473.6044,12.78,0,529965.1299,106,216,1630,1,2G,2G,PQza,PQza
ADF0224,1758,58.6,478.566,14.31,85,514032.2305,51,1056,5955,1,2G,2G,PQza,PQza
ADF0225,224,7.466666667,482.018,0,236.25,14001033.68,7,0,1253,1,3G,3G,PQza,PQza
ADF0226,145,4.833333333,488.158,5.25,101.25,32016301.44,17,0,3033,1,3G,3G,Weematel,PQza
ADF0227,2233,74.43333333,492.6008,23.09,15,1464487.252,41,3286,12282,1,3G,3G,Weematel,PQza
ADF0228,145,4.833333333,496.666,45.52,232.5,194053.3457,11,828,895,1,2G,2G,Uxaa,PQza
ADF0229,469,15.63333333,497.632,43.03,3.75,2.6367,123,11724,17042,1,2G,2G,ToCall,PQza
ADF0230,1064,35.46666667,503.31,23.19,12.5,587881.6592,25,1024,4276,1,Other,Other,PQza,PQza
ADF0231,3457,115.2333333,515.7852,20.03,133.75,484236.749,11,24,1685,1,Other,Other,PQza,PQza
ADF0232,212,7.066666667,520.498,73.08,30,360623.5371,142,840,16232,1,3G,3G,Weematel,PQza
ADF0233,130,4.333333333,527.61,9.3,3.75,25.6025,39,8844,32959,1,,,ToCall,PQza
ADF0234,1023,34.1,528.6964,47.16,0,805.084,96,11309,23293,3,2G,2G,Weematel,PQza
ADF0235,106,3.533333333,529.33,45.5,53.75,55103.333,109,3756,17652,1,,,PQza,PQza
ADF0236,595,19.83333333,538.858,0,70,14902271.69,6,24,753,2,3G,3G,Weematel,PQza
ADF0237,507,16.9,539.288,16.73,0,42944.3076,212,3705,920,1,Other,Other,PQza,PQza
ADF0238,4855,161.8333333,550.96,7,0,29927.999,233,1284,6281,1,2G,2G,Uxaa,PQza
ADF0239,680,22.66666667,551.2116,60.48,22.5,264810.6015,52,96,10451,1,Other,Other,Uxaa,PQza
ADF0240,3517,117.2333333,552.754,3.24,22.32,545011.997,10,179,9563,2,2G,2G,PQza,PQza
ADF0241,445,14.83333333,553.47,33.85,32.5,115799.9854,375,822,892,1,3G,3G,Zintel,PQza
ADF0242,884,29.46666667,570.3384,38.24,2.5,79.0713,154,4365,27494,1,2G,2G,Zintel,PQza
ADF0243,710,23.66666667,576.2244,19.18,22,135342.2959,227,1092,14839,1,2G,2G,PQza,PQza
ADF0244,1345,44.83333333,578.13,32.33,116.75,245928.7442,37,1092,4889,1,3G,,Mango,PQza
ADF0245,1675,55.83333333,579.7812,25.16,17.5,274330.2383,48,6753,6346,1,3G,3G,ToCall,PQza
ADF0246,4121,137.3666667,584.6,0,65,353999.3867,69,6630,23142,1,3G,3G,Uxaa,PQza
ADF0247,411,13.7,585.64,24.5,47.5,11288172.96,45,1566,3676,1,3G,3G,PQza,PQza
ADF0248,1196,39.86666667,585.89,34.59,218.75,472293.376,25,1830,2650,2,2G,2G,Zintel,PQza
ADF0249,906,30.2,589.12,64.09,16.25,924490.5791,164,1167,3501,1,3G,3G,Mango,PQza
ADF0250,1754,58.46666667,590.0068,28.51,17.5,645.0088,67,3980,27917,1,2G,2G,Zintel,PQza
ADF0251,224,7.466666667,597.648,11.95,32.5,715187.5059,24,1434,2387,1,,,PQza,PQza
ADF0252,224,7.466666667,599.6892,38.84,8.75,693812.3477,299,4668,4619,5,3G,3G,Weematel,PQza
ADF0253,1160,38.66666667,603.59,17.21,23.75,2040654.463,64,144,20668,1,3G,3G,ToCall,PQza
ADF0562,3661,122.0333333,1285.72,36.23,61.25,1709812.973,55,2101,5555,1,Other,Other,PQza,ToCall
ADF0563,2890,96.33333333,1288.52,5.98,115,880049.6084,69,622,1995,1,3G,3G,0,ToCall
ADF0564,248,8.266666667,1386.9816,75.24,33.75,421687.4766,238,4152,57299,1,2G,2G,Mango,ToCall
ADF0565,1589,52.96666667,2283.97,149.5,72.5,12941401.86,232,3370,179,2,3G,3G,Zintel,ToCall
ADF0566,1513,50.43333333,2527.9872,22.18,256.25,3280593.825,222,18646,71141,3,3G,3G,PQza,ToCall
ADF0567,1879,62.63333333,225.9328,25.65,1.25,23.2354,40,12,13947,1,,,PQza,ToCall
ADF0568,221,7.366666667,230.008,40.35,1.25,47568.4531,35,228,7902,1,3G,3G,Weematel,ToCall
ADF0569,2413,80.43333333,275.13,20.87,2.5,123.3301,51,972,9991,1,3G,3G,Mango,ToCall
ADF0570,3504,116.8,299.57,5.38,27.5,444258.4561,27,954,7231,1,2G,2G,ToCall,ToCall
ADF0571,115,3.833333333,357,13.53,0,36947.2373,68,4644,1747,2,2G,3G,Uxaa,ToCall
ADF0572,2236,74.53333333,380.7112,15.91,0,30.541,61,1482,18465,1,3G,3G,ToCall,ToCall
ADF0573,1752,58.4,393.5116,47.66,3.75,6.5352,44,502,17006,1,,,Mango,ToCall
ADF0574,1370,45.66666667,394.6204,29.28,0,1853.6602,101,837,25087,1,2G,2G,Uxaa,ToCall
ADF0575,171,5.7,403.45,48.12,127.5,1913185.035,24,240,3603,1,,,ToCall,ToCall
ADF0576,504,16.8,442.8664,17.84,156.25,114293.581,40,162,8172,1,,,ToCall,ToCall
ADF0577,324,10.8,457.972,20.24,18.75,767.2188,72,6394,24345,1,3G,3G,PQza,ToCall
ADF0578,197,6.566666667,488.28,110.27,11.25,42615.9326,35,720,2652,1,3G,3G,Uxaa,ToCall
ADF0579,1452,48.4,515.2484,11.14,26.25,2381.3155,69,0,19300,1,2G,2G,ToCall,ToCall
ADF0644,636,21.2,1281.6892,46.45,53.75,26519180.36,29,3495,1611,1,3G,3G,Uxaa,Uxaa
ADF0645,4870,162.3333333,1283.8368,9.62,27.5,1469047.9,468,2808,13915,5,3G,3G,Zintel,Uxaa
ADF0646,2009,66.96666667,1293.47,18.44,3.75,62.6748,212,49932,30048,1,3G,3G,Weematel,Uxaa
ADF0647,139,4.633333333,1294.1368,446.55,65,457645.7227,255,12216,8148,2,2G,2G,Mango,Uxaa
ADF0648,173,5.766666667,1300.67,50.23,3.75,1388410.418,283,0,13031,1,3G,3G,PQza,Uxaa
ADF0649,2499,83.3,1303.5856,28,78.75,3494.2705,240,52215,14089,1,2G,2G,Zintel,Uxaa
ADF0650,3860,128.6666667,1304.442,93.01,0,1149525.693,162,1004,18283,1,3G,3G,Uxaa,Uxaa
ADF0651,2273,75.76666667,1305.6124,0,82.5,6197539.493,132,954,371,2,3G,3G,Mango,Uxaa
ADF0652,2691,89.7,1310.2728,36.75,0,4909702.271,364,8111,65351,2,3G,3G,0,Uxaa
ADF0653,2741,91.36666667,1310.8968,21.86,1.25,54.9502,843,11124,18160,8,2G,2G,Weematel,Uxaa
ADF0654,2585,86.16666667,1313.1,0,0,3340274.291,456,0,0,1,3G,3G,Weematel,Uxaa
ADF0655,2707,90.23333333,1313.1,0,0,3367450.12,1861,0,0,2,Other,Other,Uxaa,Uxaa
ADF0656,4192,139.7333333,1313.1,0,0,1895829.15,443,0,0,1,3G,3G,PQza,Uxaa
ADF0657,4222,140.7333333,1313.1,0,0,2174469.22,293,0,0,6,3G,3G,ToCall,Uxaa
ADF0658,3482,116.0666667,1313.1,0,0,10409369.54,562,0,0,4,3G,3G,Uxaa,Uxaa
ADF0659,2139,71.3,1319.4,1.75,91.25,3223359.447,120,36453,3872,1,3G,3G,PQza,Uxaa
ADF0660,5363,178.7666667,1321.3504,0,0,637.3896,1514,239,0,1,Other,Other,PQza,Uxaa
ADF0661,959,31.96666667,1324.2884,1.8,48.75,132049.9375,217,21527,1960,3,3G,3G,PQza,Uxaa
ADF0662,507,16.9,1325.15,53.18,167.86,150254.2959,121,8981,54807,1,3G,3G,PQza,Uxaa
ADF0663,3877,129.2333333,1332.886,9.48,3.75,346760.1201,273,6694,47457,3,2G,3G,ToCall,Uxaa
ADF0664,1796,59.86666667,1334.0136,37.66,100,23845302,217,36228,23613,1,Other,Other,ToCall,Uxaa
ADF0665,485,16.16666667,1336.6664,4.32,93.62,2484466.32,464,22188,6034,1,,,PQza,Uxaa
ADF0666,1777,59.23333333,1337.31,0.6,0,2924192.745,866,0,39793,1,3G,3G,Weematel,Uxaa
ADF0667,4233,141.1,1340.2544,78.03,72.5,11694.8086,186,29388,59376,1,3G,3G,Weematel,Uxaa
ADF0668,2434,81.13333333,1342.34,0,0,64281.1152,388,0,179,2,Other,Other,Mango,Uxaa
ADF0669,1972,65.73333333,1344.44,15.35,0,2156924.857,770,12198,12700,2,2G,3G,Zintel,Uxaa
ADF0670,512,17.06666667,1348.48,5.98,0,3410175.299,1634,0,179,2,3G,3G,Zintel,Uxaa
ADF0671,609,20.3,1348.892,40.86,1.25,959103.6416,145,12510,43386,1,3G,3G,ToCall,Uxaa
ADF0672,152,5.066666667,1349.06,0,3.75,936196.6514,721,912,814,2,3G,3G,ToCall,Uxaa
ADF0673,149,4.966666667,1351.0156,40.25,52.5,14157.3994,534,45201,23472,3,3G,3G,Zintel,Uxaa
ADF0674,3077,102.5666667,1355.9676,8.75,157.5,3335808.418,75,5022,19195,2,Other,Other,Zintel,Uxaa
ADF0675,1418,47.26666667,1356.54,0,0,91485.7813,359,0,20434,1,3G,3G,Uxaa,Uxaa
ADF0676,2692,89.73333333,1356.89,2.39,17.5,2783104.54,642,0,716,2,3G,3G,Mango,Uxaa
ADF0677,1717,57.23333333,1359.412,3.5,243.75,1096163.608,117,20988,30081,1,3G,3G,0,Uxaa
ADF0678,1396,46.53333333,1359.4716,2.4,386.25,2107391.689,555,0,895,3,3G,3G,Weematel,Uxaa
ADF0679,4158,138.6,1360.42,0,0,62424.3115,401,0,3346,1,3G,3G,Uxaa,Uxaa
ADF0680,3547,118.2333333,1360.55,9.58,0,2791.5049,836,0,0,1,Other,Other,PQza,Uxaa
ADF0681,4635,154.5,1361.478,5.89,22.5,155031212.8,31,156,7726,1,3G,3G,Mango,Uxaa
ADF0682,192,6.4,1363.0804,1.75,97.5,8960971.321,281,1704,2835,2,3G,3G,Mango,Uxaa
ADF0683,954,31.8,1363.9172,21.1,60.14,2078796.036,357,1217,0,1,3G,3G,Uxaa,Uxaa
ADF0684,1080,36,1370.3732,8.64,83.39,1475066.464,149,35907,2600,1,3G,3G,Uxaa,Uxaa
ADF0685,256,8.533333333,1370.7,10.54,46.25,477936.3838,640,2886,3268,2,3G,3G,PQza,Uxaa
ADF0686,963,32.1,1371.1004,126.27,46.25,1642929.457,470,1182,32533,1,3G,3G,ToCall,Uxaa
ADF0687,1420,47.33333333,1377.9204,21,45,1004668.231,275,323,10361,1,3G,3G,Zintel,Uxaa
ADF0688,1392,46.4,1379.0908,0,203.75,3636022.071,68,1650,2092,2,3G,3G,Uxaa,Uxaa
ADF0689,147,4.9,1379.5908,293.14,143.75,1495256.854,67,5316,10186,2,3G,3G,Weematel,Uxaa
ADF0690,851,28.36666667,1383.39,0,72.5,109849583.7,403,0,537,4,3G,3G,Mango,Uxaa
ADF0691,167,5.566666667,1386.336,167.44,1.25,685523.2597,344,0,1151,1,,,Uxaa,Uxaa
ADF0692,144,4.8,1392.158,28.86,3.75,88965.5684,999,11404,30241,1,3G,,Zintel,Uxaa
ADF0693,3326,110.8666667,1396.7108,0,48.75,3405497.508,855,0,358,4,Other,Other,Zintel,Uxaa
ADF0694,3324,110.8,1397.63,26.98,1.25,726691.2451,289,0,716,6,3G,3G,Uxaa,Uxaa
ADF0695,679,22.63333333,1401.1316,1.98,27.5,67.8037,932,38472,8627,2,Other,Other,Weematel,Uxaa
ADF0696,1482,49.4,1402.31,0,116.25,10793566.93,393,8838,10434,1,Other,Other,ToCall,Uxaa
ADF0697,1685,56.16666667,1405.71,5.98,1.25,1590797.961,292,0,716,2,3G,3G,PQza,Uxaa
ADF0698,2921,97.36666667,1406.726,9.62,60,38053199.62,393,4401,25720,1,,,Mango,Uxaa
ADF0699,322,10.73333333,1410.27,26.9,13.75,359203.6875,671,0,537,2,3G,3G,Zintel,Uxaa
ADF0700,210,7,1413.38,7,12.5,37982304.31,120,1518,18050,1,,3G,Uxaa,Uxaa
ADF0701,1089,36.3,1420.52,2.36,63.75,11506415.47,535,598,7989,3,3G,3G,PQza,Uxaa
ADF0702,5356,178.5333333,1424.17,105.77,192.5,90541.0771,52,17843,6083,1,3G,3G,ToCall,Uxaa
ADF0703,128,4.266666667,1440.88,0,0,1944.8018,443,0,5147,2,,,Zintel,Uxaa
ADF0704,2674,89.13333333,1444.38,11.37,298.75,1438707.392,72,12680,29554,1,3G,3G,Weematel,Uxaa
ADF0705,1231,41.03333333,1447.6688,7.88,253.75,10585665.99,312,46590,26259,3,3G,3G,ToCall,Uxaa
ADF0706,3882,129.4,1448.37,35.44,76.25,1906632.362,1009,0,358,2,3G,3G,Mango,Uxaa
ADF0707,1351,45.03333333,1448.5,174.1,101.25,1010556.221,255,2737,1887,1,Other,Other,Weematel,Uxaa
ADF0708,1332,44.4,1449.67,34.71,22.5,1136535.712,423,15568,7470,1,3G,3G,Weematel,Uxaa
ADF0709,3901,130.0333333,1452.7456,19.57,155,1629975.602,667,12754,12190,6,3G,3G,Mango,Uxaa
ADF0710,3566,118.8666667,1454.096,15.75,27.5,73060.8311,603,15687,9823,1,2G,2G,Weematel,Uxaa
ADF0711,2256,75.2,1455.496,1.75,0,59442.083,654,287,2747,10,Other,Other,Zintel,Uxaa
ADF0712,2106,70.2,1458.39,5.98,0,1086.1651,1025,0,2629,3,2G,2G,Weematel,Uxaa
ADF0713,3978,132.6,1458.574,0,0,6921.6201,1111,0,16146,1,3G,3G,Mango,Uxaa
ADF0714,1686,56.2,1460.28,14.34,1.25,312416.3614,503,4565,19526,1,3G,3G,Uxaa,Uxaa
ADF0715,1192,39.73333333,1464.32,41.79,191.25,57834827.73,25,1522,2764,1,3G,3G,ToCall,Uxaa
ADF0716,3962,132.0666667,1465.878,21.44,92.5,2826443.068,629,1195,1134,1,3G,3G,Weematel,Uxaa
ADF0717,1994,66.46666667,1470.1992,3.59,1.25,11.3418,634,13426,13511,2,Other,Other,PQza,Uxaa
ADF0718,1310,43.66666667,1471.3912,21.49,17.5,768.3096,413,37134,24971,1,,,Mango,Uxaa
